,date,daily_signal,signal_strength,buy_ratio,sell_ratio,hold_ratio,total_posts,avg_confidence,total_score,model_used
0,2025-08-09,NEUTRAL,-0.0,-0.0,-0.0,,166,0.8067051381949353,1086.0,bart
1,2025-08-07,NEUTRAL,-0.0,-0.0,-0.0,,155,0.8072328108559986,859.0,bart
2,2025-08-12,NEUTRAL,-0.0,-0.0,-0.0,,234,0.794486034351581,883.0,bart
3,2025-08-10,NEUTRAL,-0.0,-0.0,-0.0,,216,0.8020031053406248,1278.0,bart
4,2025-08-06,NEUTRAL,-0.0,,,,1336,0.8060132164379065,7760.0,bart
5,2025-08-13,NEUTRAL,-0.0,-0.0,-0.0,,232,0.7895877271532259,832.0,bart
6,2025-08-11,NEUTRAL,-0.0,-0.0,-0.0,,236,0.797907272783091,1401.0,bart
7,2025-08-08,NEUTRAL,-0.0,-0.0,-0.0,,162,0.8064382613265932,970.0,bart
8,2025-08-24,NEUTRAL,-0.0,,-0.0,-0.0,143,0.8039903616633154,545.0,bart
9,2025-08-29,NEUTRAL,-0.0,-0.0,,,139,0.7860806926338363,608.0,bart
10,2025-09-10,NEUTRAL,-0.0,-0.0,-0.0,,122,0.812256021035163,928.0,bart
11,2025-09-08,HOLD,0.8685609863908005,0.05870327845589694,0.037273397687380125,0.8685609863908005,94,0.7992913692684486,1183.0,bart
12,2025-08-19,NEUTRAL,-0.0,,-0.0,,124,0.7946007623838331,535.0,bart
13,2025-08-25,NEUTRAL,-0.0,-0.0,-0.0,,157,0.7921325484165423,634.0,bart
14,2025-08-26,NEUTRAL,-0.0,-0.0,-0.0,,123,0.799186493911326,382.0,bart
15,2025-08-31,NEUTRAL,-0.0,-0.0,,-0.0,167,0.7826453367513336,1273.0,bart
16,2025-09-01,NEUTRAL,-0.0,-0.0,-0.0,,197,0.7877664933855444,1288.0,bart
17,2025-09-09,NEUTRAL,-0.0,-0.0,-0.0,,116,0.8103453767272294,991.0,bart
18,2025-08-27,NEUTRAL,-0.0,-0.0,-0.0,,128,0.7917918757225523,453.0,bart
19,2025-09-06,NEUTRAL,-0.0,-0.0,-0.0,,95,0.8203825090955424,785.0,bart
20,2025-08-21,NEUTRAL,-0.0,-0.0,-0.0,,148,0.789736956220131,717.0,bart
21,2025-09-05,NEUTRAL,-0.0,-0.0,-0.0,,101,0.8141038066591635,563.0,bart
22,2025-08-22,NEUTRAL,-0.0,-0.0,-0.0,,127,0.7960594306800987,473.0,bart
23,2025-08-28,NEUTRAL,-0.0,-0.0,-0.0,,149,0.7922036431211059,617.0,bart
24,2025-08-20,NEUTRAL,-0.0,-0.0,-0.0,,154,0.7932647266674375,682.0,bart
25,2025-09-03,NEUTRAL,-0.0,-0.0,-0.0,,152,0.7961107892996719,914.0,bart
26,2025-09-11,NEUTRAL,-0.0,-0.0,-0.0,,141,0.8299484136366474,1088.0,bart
27,2025-09-12,NEUTRAL,-0.0,-0.0,-0.0,,147,0.831377148675687,1257.0,bart
28,2025-08-30,NEUTRAL,-0.0,-0.0,,,158,0.7730642170292247,1009.0,bart
29,2025-08-23,HOLD,0.768410116337916,0.1776260551811899,0.05396382848089416,0.768410116337916,121,0.8041771475996434,448.0,bart
30,2025-09-02,NEUTRAL,-0.0,-0.0,-0.0,,204,0.7873509062933899,1588.0,bart
31,2025-09-07,HOLD,0.829681128901684,0.054344984753453535,0.03197879670611564,0.829681128901684,93,0.8149171981911295,976.0,bart
32,2025-09-04,NEUTRAL,-0.0,-0.0,-0.0,,111,0.8078658366581934,1005.0,bart
