,date,daily_signal,signal_strength,buy_ratio,sell_ratio,hold_ratio,total_posts,avg_confidence,total_score,model_used
0,2025-08-09,NEUTRAL,-0.0,-0.0,,,166,0.7543083496925425,1086.0,distilbert
1,2025-08-07,NEUTRAL,-0.0,-0.0,,,155,0.7331538232111676,859.0,distilbert
2,2025-08-12,NEUTRAL,-0.0,,-0.0,,234,0.7316612514673667,883.0,distilbert
3,2025-08-10,NEUTRAL,-0.0,-0.0,,,216,0.7462961991615851,1278.0,distilbert
4,2025-08-06,NEUTRAL,,,,,1336,0.7412588026381172,7760.0,distilbert
5,2025-08-13,NEUTRAL,,,-0.0,,232,0.7356529837123389,832.0,distilbert
6,2025-08-11,NEUTRAL,-0.0,,-0.0,,236,0.7354146728469462,1401.0,distilbert
7,2025-08-08,NEUTRAL,-0.0,-0.0,,-0.0,162,0.7384658318664761,970.0,distilbert
8,2025-08-24,NEUTRAL,-0.0,,-0.0,-0.0,143,0.7303089539937435,545.0,distilbert
9,2025-08-29,NEUTRAL,,-0.0,,-0.0,139,0.7535997316885894,608.0,distilbert
10,2025-09-10,NEUTRAL,,-0.0,,-0.0,122,0.7446382618453978,928.0,distilbert
11,2025-09-08,NEUTRAL,0.2776768805685726,0.27746594869024505,0.19259021103386392,0.2522669597073185,94,0.7721559554211355,1183.0,distilbert
12,2025-08-19,NEUTRAL,-0.0,-0.0,,,124,0.7137434638534902,535.0,distilbert
13,2025-08-25,NEUTRAL,,-0.0,-0.0,-0.0,157,0.7264786489675564,634.0,distilbert
14,2025-08-26,NEUTRAL,,-0.0,-0.0,-0.0,123,0.739145285116306,382.0,distilbert
15,2025-08-31,NEUTRAL,-0.0,-0.0,,-0.0,167,0.7146779981243528,1273.0,distilbert
16,2025-09-01,NEUTRAL,-0.0,,-0.0,-0.0,197,0.7209254856205117,1288.0,distilbert
17,2025-09-09,NEUTRAL,,,,-0.0,116,0.7453738034358696,991.0,distilbert
18,2025-08-27,NEUTRAL,,-0.0,-0.0,-0.0,128,0.7355551104911721,453.0,distilbert
19,2025-09-06,NEUTRAL,,-0.0,-0.0,-0.0,95,0.7778666289214861,785.0,distilbert
20,2025-08-21,NEUTRAL,-0.0,-0.0,,-0.0,148,0.7253669208988073,717.0,distilbert
21,2025-09-05,NEUTRAL,,-0.0,-0.0,-0.0,101,0.7773331636666208,563.0,distilbert
22,2025-08-22,NEUTRAL,-0.0,-0.0,,-0.0,127,0.718650919990466,473.0,distilbert
23,2025-08-28,NEUTRAL,,-0.0,-0.0,-0.0,149,0.7233693031383289,617.0,distilbert
24,2025-08-20,NEUTRAL,-0.0,-0.0,,-0.0,154,0.7205042949349458,682.0,distilbert
25,2025-09-03,NEUTRAL,,,-0.0,-0.0,152,0.7267455987317135,914.0,distilbert
26,2025-09-11,NEUTRAL,,,,,141,0.7575077702471308,1088.0,distilbert
27,2025-09-12,NEUTRAL,,-0.0,-0.0,,147,0.7552668130623417,1257.0,distilbert
28,2025-08-30,NEUTRAL,-0.0,,,-0.0,158,0.7287103561845828,1009.0,distilbert
29,2025-08-23,NEUTRAL,0.31166039391027284,0.30631152427231123,0.15088999401148487,0.23113808780593115,121,0.7198207951595872,448.0,distilbert
30,2025-09-02,NEUTRAL,,,-0.0,-0.0,204,0.715401459629803,1588.0,distilbert
31,2025-09-07,NEUTRAL,0.3254441880644364,0.272993568603576,0.15713540166153045,0.24442684167045725,93,0.7828366904245765,976.0,distilbert
32,2025-09-04,NEUTRAL,,,-0.0,-0.0,111,0.7367786403926141,1005.0,distilbert
