,date,daily_signal,signal_strength,buy_ratio,sell_ratio,hold_ratio,total_posts,avg_confidence,total_score,model_used
0,2025-08-13,BUY,0.31148138362566224,0.31148138362566224,0.24564511584882398,0.2659054507313435,169,0.7391244560512392,1089.0,distilbert
1,2025-08-06,SELL,0.26094204915867103,0.2593032915110636,0.26094204915867103,0.25102412806699925,88,0.7443497185440225,378.0,distilbert
2,2025-08-07,SELL,0.27204523800267727,0.24142606748910833,0.27204523800267727,0.25616488506798124,90,0.7454832145001412,402.0,distilbert
3,2025-08-11,BUY,0.3138618394153132,0.3138618394153132,0.2248801379325745,0.24877363521399734,133,0.7437289683505558,818.0,distilbert
4,2025-08-09,HOLD,0.27594283170023526,0.2502197295621847,0.23635548737830533,0.27594283170023526,99,0.7374508297720224,532.0,distilbert
5,2025-08-08,SELL,0.26186736649338466,0.24177942584360662,0.26186736649338466,0.25584355469335807,89,0.7432112640153851,380.0,distilbert
6,2025-08-12,BUY,0.2910276358857919,0.2910276358857919,0.2572425999432668,0.27333631886912496,166,0.7421956871139905,1077.0,distilbert
7,2025-08-10,NEUTRAL,-0.0,-0.0,-0.0,,121,0.7403098731053182,713.0,distilbert
8,2025-08-30,BUY,0.3145373481944816,0.3145373481944816,0.18865585730603684,0.2555311295237924,262,0.7431806668996693,1619.0,distilbert
9,2025-09-02,BUY,0.3166181722361704,0.3166181722361704,0.18924862932782985,0.2512689924479557,266,0.7349562010922273,1688.0,distilbert
10,2025-09-11,BUY,0.29203022753076824,0.29203022753076824,0.19818438176992945,0.2533356697424262,242,0.7403339399973217,1412.0,distilbert
11,2025-08-24,BUY,0.3047141946524944,0.3047141946524944,0.2151169196947758,0.2501851376275284,269,0.7361197700988517,1638.0,distilbert
12,2025-09-10,BUY,0.29108835521724746,0.29108835521724746,0.1861477858445225,0.2525267711122739,241,0.7402427423153823,1429.0,distilbert
13,2025-08-26,BUY,0.309017535605934,0.309017535605934,0.19341703069657035,0.26465135312431015,260,0.7412781963262776,1599.0,distilbert
14,2025-09-06,BUY,0.2851584754098877,0.2851584754098877,0.1796054715644961,0.2612774655334974,245,0.7391809623031687,1447.0,distilbert
15,2025-08-25,BUY,0.30598797076928147,0.30598797076928147,0.21034472233236487,0.25455964045718965,273,0.7360693225044744,1626.0,distilbert
16,2025-08-29,BUY,0.31273299236965,0.31273299236965,0.1911420811841458,0.25866961744505984,261,0.742388255661737,1617.0,distilbert
17,2025-08-28,BUY,0.3144396321042011,0.3144396321042011,0.19451512761843684,0.2552970825933922,260,0.7416742709494195,1592.0,distilbert
18,2025-09-09,BUY,0.2902484661921718,0.2902484661921718,0.185577987469417,0.25188584155620886,242,0.7397027742526973,1430.0,distilbert
19,2025-09-08,BUY,0.2898450313844758,0.2898450313844758,0.1838359495053972,0.2533258214239679,242,0.7397027742526973,1432.0,distilbert
20,2025-08-31,BUY,0.30446265578565995,0.30446265578565995,0.1917245043413068,0.2465928770354662,261,0.736412965668704,1618.0,distilbert
21,2025-09-03,BUY,0.2928144919685576,0.2928144919685576,0.18528101019849827,0.2570088148606238,259,0.7388775101830652,1552.0,distilbert
22,2025-08-19,BUY,0.30769653255814305,0.30769653255814305,0.21746907581886454,0.2570564357028577,241,0.7352245669576248,1491.0,distilbert
23,2025-09-12,BUY,0.2994822453463077,0.2994822453463077,0.19907795624693564,0.254659560622226,241,0.7401566686212244,1389.0,distilbert
24,2025-09-04,BUY,0.29111970397907316,0.29111970397907316,0.18675477149667488,0.2592396793944952,259,0.7388775101830652,1541.0,distilbert
25,2025-08-27,BUY,0.3192737348692739,0.3192737348692739,0.19246778390376304,0.2581470347249515,259,0.7410250261728637,1599.0,distilbert
26,2025-09-05,BUY,0.2872343428043156,0.2872343428043156,0.18127876387704348,0.26095556455721325,249,0.7366307921269107,1457.0,distilbert
27,2025-08-21,BUY,0.29634245994980224,0.29634245994980224,0.21706436077348143,0.2602558218959169,265,0.7373417124631371,1559.0,distilbert
28,2025-08-20,BUY,0.3023854685280643,0.3023854685280643,0.21753422592612678,0.2543970617417871,250,0.7346309509538766,1520.0,distilbert
29,2025-08-23,BUY,0.30279487646612574,0.30279487646612574,0.2223292055952607,0.2484152179851528,265,0.7390176974774809,1605.0,distilbert
30,2025-09-07,BUY,0.2870047827615133,0.2870047827615133,0.17741926287864923,0.26136071269964506,247,0.7381775951288881,1455.0,distilbert
31,2025-09-01,BUY,0.30795511507018103,0.30795511507018103,0.18907380637251822,0.24273940233954566,267,0.7325132546007557,1630.0,distilbert
32,2025-08-22,BUY,0.305430055881885,0.305430055881885,0.20962329517593706,0.2589776664752676,265,0.738231376597223,1578.0,distilbert
